Published Carrier,Flight Number,Origin,Destination,Departure Time,Arrival Time,Op Days,Elapsed Time,Distance (KM),Stops,Equipment,Codeshare Flts
FM,822,KIX,PVG,1930,2115,1234567,2:45,1305,0,738,MU 9822
FM,870,BUD,PVG,1230,445,  3 5 7,10:15,8361,0,789,MU  870
FM,871,DYG,PUS,1110,1515,  3  6 ,3:05,1862,0,737,
FM,9136,BAV,PVG,1825,2120,7,2:55,1489,0,733,MU 9136
FM,9166,DYG,WNZ,955,1150,4,1:55,1025,0,738,MU 9166
FM,9174,HRB,JNG,1655,1950,2,2:55,1419,0,738,MU 9174
FM,9180,CGQ,PVG,1940,2230,1234567,2:50,1468,0,73H,MU 9180
FM,9262,XMN,SHA,2010,2155,3,1:45,803,0,737,MU 9262
FM,9311,PVG,CAN,2115,2340,1234567,2:25,1202,0,738,"MU 9311,DL 6358"
FM,9313,SHA,CAN,1830,2055,1234567,2:25,1175,0,737,MU 9313
FM,9318,CAN,SHA,1730,2005,1234567,2:35,1175,0,737,MU 9318
FM,9336,WUT,PVG,2035,2305, 2 4 6 ,2:30,1154,0,738,MU 9336
FM,9353,WEH,CGQ,1320,1510,1 3 5 7,1:50,809,0,738,MU 9353
FM,9366,YIH,PVG,1020,1220,1234567,2:00,987,0,738,MU 9366
FM,9381,CGQ,PVG,1620,1910,1234567,2:50,1468,0,738,MU 9381
FM,9382,PVG,CGQ,1045,1335,2,2:50,1468,0,738,MU 9382
FM,9429,PVG,HNY,1125,1335,1234567,2:10,1007,0,738,MU 9429
FM,9464,KWE,SHA,1100,1335,1 34 6 ,2:35,1503,0,737,MU 9464
FM,9508,FOC,JNG,1505,1720, 2 4 6 ,2:15,1085,0,73H,MU 9508
FM,9514,ZUH,SHA,1200,1430,5,2:30,1291,0,737,MU 9514
FM,9517,PVG,WNZ,1020,1145,1234567,1:25,370,0,738,MU 9517
FM,9567,CGO,KRY,1200,1640,1 3 5 7,4:40,2723,0,737,MU 9567
FM,830,PUS,PVG,1750,1850,1  4 67,2:00,800,0,738,"MU 9830,KE 5891"
FM,851,SHA,TSA,820,1015, 2  5 7,1:55,679,0,333,"MU 9851,CI 8022"
FM,9107,SHA,PEK,2130,2350,6,2:20,1075,0,738,MU 9107
FM,9147,SHA,TSN,815,1025,1234567,2:10,953,0,737,MU 9147
FM,9171,PVG,HRB,745,1055,  3  67,3:10,1654,0,73H,MU 9171
FM,9190,OHE,HRB,1430,1605,5,1:35,855,0,733,MU 9190
FM,9232,TAO,SHA,1600,1750, 2 4 6 ,1:50,570,0,738,MU 9232
FM,9243,TXN,CKG,1505,1725,1234567,2:20,1120,0,738,MU 9243
FM,9302,CAN,PVG,730,950,1234567,2:20,1202,0,738,"MU 9302,DL 6729"
FM,9328,CGO,PVG,730,925,1,1:55,832,0,73H,"MU 9328,DL 6717"
